순위$곡명$가수$공감수$공감수차
1$초록빛$폴킴$15567$10587
2$넘쳐흘러$엠씨더맥스$77019$72039
3$벌써 12시$청하$71327$66347
4$띵 (Prod. By 기리보이)$Jvcki Wai, 영비 (Young B), Osshun Gum, 한요한$45149$40169
5$180도$벤$117839$112859
6$신용재$하은 (라코스테남)$80280$75300
7$SOLO$제니 (JENNIE)$159079$154099
8$MILLIONS$WINNER$100049$95069
9$Love Shot$EXO$120463$115483
10$아낙네$MINO (송민호)$140834$135854
11$너를 만나$폴킴$159041$154061
12$모든 날, 모든 순간 (Every day, Every Moment)$폴킴$233989$229009
13$Tempo$EXO$167594$162614
14$YES or YES$TWICE (트와이스)$115280$110300
15$너도 그냥 날 놓아주면 돼$윤건$39393$34413
16$내 생에 아름다운$케이윌$90162$85182
17$해야 (Sunrise)$여자친구 (GFRIEND)$25932$20952
18$아름답고도 아프구나$비투비$120670$115690
19$IDOL$방탄소년단$213749$208769
20$흔한 이별$허각$37061$32081
21$%%(응응)$Apink (에이핑크)$24164$19184
22$가을 타나 봐$바이브$112466$107486
23$첫눈에$헤이즈 (Heize)$49950$44970
24$thank u, next$Ariana Grande$82089$77109
25$삐삐$아이유$203873$198893
26$Way Back Home$숀 (SHAUN)$249604$244624
27$고백$양다일$97957$92977
28$이별하러 가는 길$임한별$70689$65709
29$봄바람$Wanna One (워너원)$125271$120291
30$열애중$벤$148457$143477
31$FAKE LOVE$방탄소년단$268887$263907
32$하루도 그대를 사랑하지 않은 적이 없었다$임창정$136089$131109
33$Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트)$pH-1, Kid Milli, 루피(Loopy)$120401$115421
34$사계 (하루살이)$엠씨더맥스$20839$15859
35$봄날$방탄소년단$377710$372730
36$트라우마 (Trauma)$EXO$66751$61771
37$라비앙로즈 (La Vie en Rose)$IZ*ONE (아이즈원)$79246$74266
38$닿은 순간 (Ooh La La La)$EXO$93186$88206
39$너 없인 안 된다$비투비$150315$145335
40$Gravity$EXO$95806$90826
41$Wait$EXO$67603$62623
42$I`m Fine$방탄소년단$157386$152406
43$24/7$EXO$91827$86847
44$습관 (Bad Habits)$숀 (SHAUN)$17753$12773
45$DNA$방탄소년단$334913$329933
46$Sign$EXO$90033$85053
47$여기 있을게 (Smile On My Face)$EXO$87050$82070
48$알았다면$장덕철$20898$15918
49$지나오다$닐로 (Nilo)$192173$187193
50$Damage$EXO$83597$78617
51$후폭풍 (Bad Dream)$EXO$83513$78533
52$가끔 (With You)$EXO$84789$79809
53$We all lie$하진$37473$32493
54$Universe$EXO$185756$180776
55$뚜두뚜두 (DDU-DU DDU-DU)$BLACKPINK$202902$197922
56$오아시스 (Oasis)$EXO$86574$81594
57$그리워하다$비투비$218979$213999
58$너는 어땠을까$노을$37577$32597
59$길 (Song by 아이유, 헨리, 조현아, 양다일)$god$22195$17215
60$Euphoria$방탄소년단$151040$146060
61$Answer : Love Myself$방탄소년단$130928$125948
62$Bohemian Rhapsody (2011 Remaster)$Queen$88583$83603
63$사이렌 (Siren)$선미$110112$105132
64$헤어지는 중$펀치 (Punch)$98227$93247
65$미안해$양다일$142288$137308
66$우리 그만하자$로이킴$121747$116767
67$에너제틱 (Energetic)$Wanna One (워너원)$286667$281687
68$Dance The Night Away$TWICE (트와이스)$138700$133720
69$밤편지$아이유$304068$299088
70$눈$폴킴$4980$0
71$비$폴킴$183383$178403
72$전하지 못한 진심 (Feat. Steve Aoki)$방탄소년단$191667$186687
73$이별길 (GOODBYE ROAD)$iKON$84379$79399
74$그때가 좋았어$케이시 (Kassy)$16021$11041
75$행복$오반$43465$38485
76$이 마음$펀치 (Punch)$5448$468
77$19금IndiGO$저스디스 (JUSTHIS), Kid Milli, NO:EL, 영비 (Young B)$89657$84677
78$겨울이라 이런 거면 좋겠다$먼데이 키즈 (Monday Kiz)$9054$4074
79$시간이 들겠지 (Feat. Colde)$로꼬$96591$91611
80$Beautiful$Wanna One (워너원)$235161$230181
81$flex (Prod. By 기리보이)$기리보이, Kid Milli, NO:EL, 스윙스$106992$102012
82$Wind flower$마마무(Mamamoo)$49118$44138
83$그 남자를 떠나$god$14202$9222
84$동화 (feat. 아이유)$김동률$55048$50068
85$가을 안부$먼데이 키즈 (Monday Kiz)$126193$121213
86$사랑을 했다 (LOVE SCENARIO)$iKON$279081$274101
87$BOOMERANG (부메랑)$Wanna One (워너원)$144117$139137
88$Epiphany$방탄소년단$119772$114792
89$켜줘 (Light)$Wanna One (워너원)$133393$128413
90$Anpanman$방탄소년단$149121$144141
91$그때 헤어지면 돼$로이킴$191638$186658
92$Snowman (삼성 갤럭시 노트 9 광고 삽입곡)$Sia$74638$69658
93$꿈처럼 내린$다비치$37872$32892
94$불꽃놀이 (Flowerbomb)$Wanna One (워너원)$72434$67454
95$Trivia 轉 : Seesaw$방탄소년단$114206$109226
96$멋지게 인사하는 법 (Feat. 슬기 of Red Velvet)$Zion.T$81438$76458
97$YA$이민혁 (HUTA)$16552$11572
98$술래$Wanna One (워너원)$69581$64601
99$I`M OK$iKON$23836$18856
100$집$Wanna One (워너원)$71864$66884
$$$공감수총계$11270480
$$$공감수차총계$10772480
